Nico,Rossberg,Mercedes,6
Lewis,Hamilton,Mercedes,44
Daniel,Ricciardo,Red Bull Racing,3
Fernando,Alonso,Ferrari,14
Valtteri,Bottas,Williams,77
Sebastian,Vettle,Red Bull Racing,1
Nico,Hulkenberg,Force India,27
Jenson,Button,McLaren,22
Kevin,Magnussen,McLaren,20
Felipe,Massa,Williams,19
Sergio,Perez,Force India,11
Kimi,Raikkonen,Ferrari,7
Jean-Eric,Vergne,Toro Rosso,25
Romain,Grosjean,Lotus,8
Danill,Kvyat,Toro Rosso,26
Jules,Bianchi,Marussia,17
Adrian,Sutil,Sauber,99
Marcus,Ericsson,Caterham,9
Pastor,Malanado,Lotus,13
Esteban,Gutierrez,Sauber,21
Max,Chilton,Marussia,4
Kamui,Kobayashi,Caterham,10
